dteday,season,workingday,casual,registered,cnt
2011-01-01,1,0,331,654,985
2011-01-02,1,0,131,670,801
2011-01-03,1,1,120,1229,1349
2011-01-04,1,1,108,1454,1562
2011-01-05,1,1,82,1518,1600
2011-01-06,1,1,88,1518,1606
2011-01-07,1,1,148,1362,1510
2011-01-08,1,0,68,891,959
2011-01-09,1,0,54,768,822
2011-01-10,1,1,41,1280,1321
2011-01-11,1,1,43,1220,1263
2011-01-12,1,1,25,1137,1162
2011-01-13,1,1,38,1368,1406
2011-01-14,1,1,54,1367,1421
2011-01-15,1,0,222,1026,1248
2011-01-16,1,0,251,953,1204
2011-01-17,1,0,117,883,1000
2011-01-18,1,1,9,674,683
2011-01-19,1,1,78,1572,1650
2011-01-20,1,1,83,1844,1927
2011-01-21,1,1,75,1468,1543
2011-01-22,1,0,93,888,981
2011-01-23,1,0,150,836,986
2011-01-24,1,1,86,1330,1416
2011-01-25,1,1,186,1799,1985
2011-01-26,1,1,34,472,506
2011-01-27,1,1,15,416,431
2011-01-28,1,1,38,1129,1167
2011-01-29,1,0,123,975,1098
2011-01-30,1,0,140,956,1096
2011-01-31,1,1,42,1459,1501
2011-02-01,1,1,47,1313,1360
2011-02-02,1,1,72,1454,1526
2011-02-03,1,1,61,1489,1550
2011-02-04,1,1,88,1620,1708
2011-02-05,1,0,100,905,1005
2011-02-06,1,0,354,1269,1623
2011-02-07,1,1,120,1592,1712
2011-02-08,1,1,64,1466,1530
2011-02-09,1,1,53,1552,1605
2011-02-10,1,1,47,1491,1538
2011-02-11,1,1,149,1597,1746
2011-02-12,1,0,288,1184,1472
2011-02-13,1,0,397,1192,1589
2011-02-14,1,1,208,1705,1913
2011-02-15,1,1,140,1675,1815
2011-02-16,1,1,218,1897,2115
2011-02-17,1,1,259,2216,2475
2011-02-18,1,1,579,2348,2927
2011-02-19,1,0,532,1103,1635
2011-02-20,1,0,639,1173,1812
2011-02-21,1,0,195,912,1107
2011-02-22,1,1,74,1376,1450
2011-02-23,1,1,139,1778,1917
2011-02-24,1,1,100,1707,1807
2011-02-25,1,1,120,1341,1461
2011-02-26,1,0,424,1545,1969
2011-02-27,1,0,694,1708,2402
2011-02-28,1,1,81,1365,1446
2011-03-01,1,1,137,1714,1851
2011-03-02,1,1,231,1903,2134
2011-03-03,1,1,123,1562,1685
2011-03-04,1,1,214,1730,1944
2011-03-05,1,0,640,1437,2077
2011-03-06,1,0,114,491,605
2011-03-07,1,1,244,1628,1872
2011-03-08,1,1,316,1817,2133
2011-03-09,1,1,191,1700,1891
2011-03-10,1,1,46,577,623
2011-03-11,1,1,247,1730,1977
2011-03-12,1,0,724,1408,2132
2011-03-13,1,0,982,1435,2417
2011-03-14,1,1,359,1687,2046
2011-03-15,1,1,289,1767,2056
2011-03-16,1,1,321,1871,2192
2011-03-17,1,1,424,2320,2744
2011-03-18,1,1,884,2355,3239
2011-03-19,1,0,1424,1693,3117
2011-03-20,1,0,1047,1424,2471
2011-03-21,2,1,401,1676,2077
2011-03-22,2,1,460,2243,2703
2011-03-23,2,1,203,1918,2121
2011-03-24,2,1,166,1699,1865
2011-03-25,2,1,300,1910,2210
2011-03-26,2,0,981,1515,2496
2011-03-27,2,0,472,1221,1693
2011-03-28,2,1,222,1806,2028
2011-03-29,2,1,317,2108,2425
2011-03-30,2,1,168,1368,1536
2011-03-31,2,1,179,1506,1685
2011-04-01,2,1,307,1920,2227
2011-04-02,2,0,898,1354,2252
2011-04-03,2,0,1651,1598,3249
2011-04-04,2,1,734,2381,3115
2011-04-05,2,1,167,1628,1795
2011-04-06,2,1,413,2395,2808
2011-04-07,2,1,571,2570,3141
2011-04-08,2,1,172,1299,1471
2011-04-09,2,0,879,1576,2455
2011-04-10,2,0,1188,1707,2895
2011-04-11,2,1,855,2493,3348
2011-04-12,2,1,257,1777,2034
2011-04-13,2,1,209,1953,2162
2011-04-14,2,1,529,2738,3267
2011-04-15,2,0,642,2484,3126
2011-04-16,2,0,121,674,795
2011-04-17,2,0,1558,2186,3744
2011-04-18,2,1,669,2760,3429
2011-04-19,2,1,409,2795,3204
2011-04-20,2,1,613,3331,3944
2011-04-21,2,1,745,3444,4189
2011-04-22,2,1,177,1506,1683
2011-04-23,2,0,1462,2574,4036
2011-04-24,2,0,1710,2481,4191
2011-04-25,2,1,773,3300,4073
2011-04-26,2,1,678,3722,4400
2011-04-27,2,1,547,3325,3872
2011-04-28,2,1,569,3489,4058
2011-04-29,2,1,878,3717,4595
2011-04-30,2,0,1965,3347,5312
2011-05-01,2,0,1138,2213,3351
2011-05-02,2,1,847,3554,4401
2011-05-03,2,1,603,3848,4451
2011-05-04,2,1,255,2378,2633
2011-05-05,2,1,614,3819,4433
2011-05-06,2,1,894,3714,4608
2011-05-07,2,0,1612,3102,4714
2011-05-08,2,0,1401,2932,4333
